IsoCode,Economy,basket_combined_simplified,basket_current,Unit,ITURegion,LDC,LLDC,SIDS,Income_2021,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
LBN,Lebanon,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,Arab States,NA,NA,NA,Upper middle income,4.07,3.53,3.6,2.34,2.22,2.19,2.1,2.1,2.73,2.3,2.73,2.73,2.71,1.88
LBN,Lebanon,Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,Arab States,NA,NA,NA,Upper middle income,39.22,38.17,42.52,29.59,29.74,29.58,NA,NA,NA,26.41,27.46,27.46,33.13,18.14
LBN,Lebanon,Fixed-broadband basket,Fixed-broadband basket (5GB),USD,Arab States,NA,NA,NA,Upper middle income,23.22,22.69,25.29,17.6,17.6,17.51,17.51,17.51,17.51,15.92,17.51,17.51,17.54,17.54
LBN,Lebanon,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,Arab States,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,3.62,2.5,2.5,3.25,3.02,3.26,3.26,3.46,6.29
LBN,Lebanon,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,Arab States,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.67,32.78,32.78,41.37,29.85
LBN,Lebanon,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,Arab States,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,29,20.9,20.9,20.9,20.9,20.9,20.9,21.9,28.86
LBN,Lebanon,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,Arab States,NA,NA,NA,Upper middle income,5.77,4.17,4.27,3.35,2.56,3.09,1.9,1.9,2.6,2.32,2.57,2.57,2.64,3.14
LBN,Lebanon,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,Arab States,NA,NA,NA,Upper middle income,55.58,45.35,50.51,42.32,34.31,41.75,NA,NA,NA,26.66,25.88,25.88,31.56,14.93
LBN,Lebanon,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,Arab States,NA,NA,NA,Upper middle income,32.9,26.85,24.71,30.04,25.17,24.71,15.9,15.7,16.6,16.07,16.5,16.5,16.71,14.43
LBN,Lebanon,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,Arab States,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2.75,2.8,3.86
LBN,Lebanon,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),PPP,Arab States,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6,27.6,33.51,18.35
