IsoCode,Economy,basket_combined_simplified,basket_current,Unit,ITURegion,LDC,LLDC,SIDS,Income_2021,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
COG,Congo (Rep. of the),Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,82.67,43.15,36.07,38.53,53.05,19.75,19.75,17.15,30.88
COG,Congo (Rep. of the),Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,155.8,155.8,146.09,NA,46.49,46.49,52.92,87.69
COG,Congo (Rep. of the),Fixed-broadband basket,Fixed-broadband basket (5GB),USD,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,180.5,97.81,81.77,81.55,60.13,26.99,26.99,25.93,45.95
COG,Congo (Rep. of the),Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,20.52,7.46,7.97,7.43,13.17,13.17,8,12.35
COG,Congo (Rep. of the),Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,74.1,32.22,30.21,NA,31,31,24.69,35.08
COG,Congo (Rep. of the),Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,46.52,16.91,16.86,8.42,17.99,17.99,12.1,18.38
COG,Congo (Rep. of the),Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,6.78,6.5,3.6,5.3,NA,NA,NA,10.25,6.51
COG,Congo (Rep. of the),Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,23.6,15.6,20.2,NA,NA,NA,31.64,18.49
COG,Congo (Rep. of the),Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,14.81,14.8,8.2,11.2,NA,NA,NA,15.5,9.69
COG,Congo (Rep. of the),Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.17,6.67
COG,Congo (Rep. of the),Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),PPP,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.64,18.94
COG,Congo (Rep. of the),Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),USD,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.91,9.93
COG,Congo (Rep. of the),Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),GNIpc,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.49,15.6
COG,Congo (Rep. of the),Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.91,44.29
COG,Congo (Rep. of the),Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.07,23.21
COL,Colombia,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,The Americas,NA,NA,NA,Upper middle income,8.77,8.26,7.72,4.66,3.28,3.06,2.78,2.03,3.19,4.04,3.93,4.19,4.16,4.41
COL,Colombia,Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,The Americas,NA,NA,NA,Upper middle income,58.78,56.21,56.11,37.6,28.5,30.41,30.04,30.04,44.82,42.22,42.43,45.27,48.07,46.63
COL,Colombia,Fixed-broadband basket,Fixed-broadband basket (5GB),USD,The Americas,NA,NA,NA,Upper middle income,33.9,34.78,35.25,23.68,19.19,19.8,18.48,13.49,18.96,19.62,20.27,21.62,18.7,19.18
COL,Colombia,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,The Americas,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,2.47,2.1,1.64,2,2.52,2.74,2.74,2.35,1.86
COL,Colombia,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,The Americas,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,24.58,22.65,24.28,28.19,26.33,29.61,29.61,27.12,19.73
COL,Colombia,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,The Americas,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,16,13.94,10.9,11.92,12.23,14.14,14.14,10.55,8.12
COL,Colombia,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,The Americas,NA,NA,NA,Upper middle income,5.62,4.88,4.86,4.36,3.98,3.26,3,2,2.1,2.72,1.47,1.38,1.24,1.12
COL,Colombia,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,The Americas,NA,NA,NA,Upper middle income,37.68,37.33,35.34,35.17,34.61,32.43,32,29.7,30.2,28.48,15.87,14.92,14.35,11.84
COL,Colombia,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,The Americas,NA,NA,NA,Upper middle income,21.73,20.52,21.11,22.2,22.15,21.11,19.7,13.3,12.8,13.23,7.58,7.13,5.58,4.87
COL,Colombia,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,The Americas,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03,2.03,1.76,1.86
COL,Colombia,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),PPP,The Americas,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9,21.9,20.34,19.73
COL,Colombia,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),USD,The Americas,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.46,10.46,7.91,8.12
COL,Colombia,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),GNIpc,The Americas,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.62,2.62,2.35,1.86
COL,Colombia,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,The Americas,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.34,28.34,27.12,19.73
COL,Colombia,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,The Americas,NA,NA,NA,Upper middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.53,13.53,10.55,8.12
COM,Comoros,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,Arab States,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,75.84,75.78,63.35,51.89,54.25,32.73,32.73,29.28,29.61
COM,Comoros,Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,Arab States,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,74.48,NA,NA,NA,69.99,73.25
COM,Comoros,Fixed-broadband basket,Fixed-broadband basket (5GB),USD,Arab States,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,49.93,49.89,41.71,33.73,34.36,36.01,36.01,34.58,36.77
COM,Comoros,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,Arab States,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,NA,30.72,25.68,18.16,18.99,17.46,8.73,7.81,7.9
COM,Comoros,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,Arab States,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,26.07,NA,NA,NA,18.66,19.53
COM,Comoros,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,Arab States,LDC,NA,SIDS,Lower middle income,NA,NA,NA,NA,NA,NA,20.23,16.91,11.8,12.03,19.2,9.6,9.22,9.8
